network;nb_emails_classes;estimation_1_motif;estimation_1_cle;estimation_1_proba_pct;estimation_2_motif;estimation_2_cle;estimation_2_proba_pct;estimation_3_motif;estimation_3_cle;estimation_3_proba_pct;domaine_1;domaine_1_proba_pct;domaine_2;domaine_2_proba_pct;domaine_3;domaine_3_proba_pct
Iad;47974;prénom.nom;prenom_point_nom;70.0;autre (alias, perso, faute, …);autre;29.3;prénom+nom collés (sans . ni _);prenom_nom_concat;0.3;iadfrance.fr;94.8;gmail.com;2.0;bskimmobilier.com;0.9
Safti;21427;prénom.nom;prenom_point_nom;58.7;autre (alias, perso, faute, …);autre;36.9;prénom+nom collés (sans . ni _);prenom_nom_concat;1.3;safti.fr;78.4;gmail.com;6.8;capifrance.fr;1.0
Propriétés privées;10833;autre (alias, perso, faute, …);autre;97.9;prénom.nom;prenom_point_nom;1.1;prénom+nom collés (sans . ni _);prenom_nom_concat;0.4;proprietes-privees.com;95.5;gmail.com;1.8;orange.fr;0.4
Efficity;8391;initiale + nom;initiale_plus_nom;77.0;autre (alias, perso, faute, …);autre;19.1;prénom+nom collés (sans . ni _);prenom_nom_concat;2.6;efficity.com;93.6;gmail.com;3.0;yahoo.fr;0.4
CapiFrance;7985;prénom.nom;prenom_point_nom;68.4;autre (alias, perso, faute, …);autre;30.3;prénom+nom collés (sans . ni _);prenom_nom_concat;0.7;capifrance.fr;91.3;gmail.com;3.1;yahoo.fr;0.6
Keller Williams;6305;prénom.nom;prenom_point_nom;67.5;autre (alias, perso, faute, …);autre;28.4;initiale + nom;initiale_plus_nom;1.5;kwfrance.com;78.4;gmail.com;7.6;cesaretbrutus.com;2.2
Bsk immobilier;4710;autre (alias, perso, faute, …);autre;61.5;initiale + nom;initiale_plus_nom;33.3;prénom.nom;prenom_point_nom;3.5;bskimmobilier.com;86.7;gmail.com;6.3;iadfrance.fr;1.3
Optimhome;4690;autre (alias, perso, faute, …);autre;50.4;prénom.nom;prenom_point_nom;48.8;prénom+nom collés (sans . ni _);prenom_nom_concat;0.6;optimhome.com;92.5;gmail.com;3.7;orange.fr;0.7
Megagence;4150;autre (alias, perso, faute, …);autre;66.7;prénom.nom;prenom_point_nom;32.0;prénom+nom collés (sans . ni _);prenom_nom_concat;1.0;megagence.com;90.8;gmail.com;5.1;hotmail.fr;0.5
Autre;2254;autre (alias, perso, faute, …);autre;60.6;prénom.nom;prenom_point_nom;24.8;initiale + nom;initiale_plus_nom;6.3;gmail.com;30.0;bskimmobilier.com;8.1;iadfrance.fr;6.7
Les Portes Clés;1858;prénom.nom;prenom_point_nom;52.6;autre (alias, perso, faute, …);autre;36.2;contact@ / info@ / …;adresse_generique;6.8;immobilier.email;75.9;gmail.com;6.2;maap-immobilier.fr;1.0
La Fourmi;1798;prénom.nom;prenom_point_nom;70.2;autre (alias, perso, faute, …);autre;28.8;prénom+nom collés (sans . ni _);prenom_nom_concat;0.7;lafourmi-immo.com;82.9;lfimmo.fr;8.6;gmail.com;3.7
3G Immo;1718;prénom.nom;prenom_point_nom;42.8;initiale + nom;initiale_plus_nom;32.6;autre (alias, perso, faute, …);autre;23.7;3gimmobilier.com;95.2;gmail.com;2.2;jc-immobilier.fr;0.3
Exp France;1607;prénom.nom;prenom_point_nom;67.0;autre (alias, perso, faute, …);autre;29.0;prénom seul;prenom_seul;2.7;expfrance.fr;87.7;luxurybyblue.com;4.7;gmail.com;4.0
Ikami;842;autre (alias, perso, faute, …);autre;99.5;contact@ / info@ / …;adresse_generique;0.5;;;0.0;ikami.fr;96.0;gmail.com;2.4;orpi.com;0.4
Expertimo;194;autre (alias, perso, faute, …);autre;69.1;prénom.nom;prenom_point_nom;10.3;contact@ / info@ / …;adresse_generique;9.3;gmail.com;50.0;expertimo.com;19.6;outlook.fr;3.6
Dr House Immo;151;autre (alias, perso, faute, …);autre;75.5;prénom.nom;prenom_point_nom;16.6;prénom seul;prenom_seul;4.0;drhouse-immo.com;44.4;drhouse.immo;20.5;gmail.com;11.3
Dans une agence;137;autre (alias, perso, faute, …);autre;62.8;prénom.nom;prenom_point_nom;17.5;initiale + nom;initiale_plus_nom;8.0;gmail.com;33.6;hotmail.fr;4.4;agencenicard.fr;2.9
Lloyd & Davis;100;autre (alias, perso, faute, …);autre;62.0;prénom.nom;prenom_point_nom;38.0;;;0.0;lloyd-davis.com;91.0;gmail.com;9.0;;
Liberkeys;94;prénom.nom;prenom_point_nom;59.6;autre (alias, perso, faute, …);autre;40.4;;;0.0;liberkeys.com;93.6;gmail.com;5.3;capifrance.fr;1.1
Abriculteurs;91;prénom seul;prenom_seul;57.1;autre (alias, perso, faute, …);autre;42.9;;;0.0;abriculteurs.com;95.6;gmail.com;3.3;lesabriculteurs.com;1.1
Weelodge;87;initiale + nom;initiale_plus_nom;58.6;autre (alias, perso, faute, …);autre;27.6;contact@ / info@ / …;adresse_generique;3.4;we-loge.com;75.9;weelodge.fr;8.0;gmail.com;4.6
MeilleursBiens;86;autre (alias, perso, faute, …);autre;46.5;initiale + nom;initiale_plus_nom;43.0;prénom.nom;prenom_point_nom;7.0;meilleursbiens.com;60.5;gmail.com;32.6;hotmail.fr;3.5
Noovimo;74;initiale + nom;initiale_plus_nom;70.3;autre (alias, perso, faute, …);autre;25.7;prénom+nom collés (sans . ni _);prenom_nom_concat;4.1;noovimo.fr;90.5;drhouse.immo;5.4;gmail.com;4.1
Century 21;68;autre (alias, perso, faute, …);autre;64.7;prénom.nom;prenom_point_nom;30.9;prénom+nom collés (sans . ni _);prenom_nom_concat;4.4;century21.fr;54.4;gmail.com;29.4;live.fr;4.4
